x_Numerical,y_Numerical,x_Analytical,y_Analytical
,,1.4996625,0.4925
,,1.4999625,0.4975
,,1.4999625,0.5025
,,1.4996625,0.5075
,,1.4990625,0.5125
,,1.4981625,0.5175
,,1.4969625,0.5225
,,1.4954625,0.5275
,,1.4936625,0.5325
,,1.4915625,0.5375
,,1.4891625,0.5425
,,1.4864625,0.5475
,,1.4834625,0.5525
,,1.4801625,0.5575
,,1.4765625,0.5625
,,1.4726625,0.5675
,,1.4684625,0.5725
,,1.4639625,0.5775
,,1.4591625,0.5825
,,1.4540625,0.5875
,,1.4486625,0.5925
,,1.4429625,0.5975
,,1.4369625,0.6025
,,1.4306625,0.6075
,,1.4240625,0.6125
,,1.4171625,0.6175
,,1.4099625,0.6225
,,1.4024625,0.6275
,,1.3946625,0.6325
,,1.3865625,0.6375
,,1.3781625,0.6425
,,1.3694625,0.6475
,,1.3604625,0.6525
,,1.3511625,0.6575
,,1.3415625,0.6625
,,1.3316625,0.6675
,,1.3214625,0.6725
,,1.3109625,0.6775
,,1.3001625,0.6825
,,1.2890625,0.6875
,,1.2776625,0.6925
,,1.2659625,0.6975
,,1.2539625,0.7025
,,1.2416625,0.7075
,,1.2290625,0.7125
,,1.2161625,0.7175
,,1.2029625,0.7225
,,1.1894625,0.7275
,,1.1756625,0.7325
,,1.1615625,0.7375
,,1.1471625,0.7425
,,1.1324625,0.7475
,,1.1174625,0.7525
,,1.1021625,0.7575
,,1.0865625,0.7625
,,1.0706625,0.7675
,,1.0544625,0.7725
,,1.0379625,0.7775
,,1.0211625,0.7825
,,1.0040625,0.7875
,,0.9866625,0.7925
,,0.9689625,0.7975
,,0.9509625,0.8025
,,0.9326625,0.8075
,,0.9140625,0.8125
,,0.8951625,0.8175
,,0.8759625,0.8225
,,0.8564625,0.8275
,,0.8366625,0.8325
,,0.8165625,0.8375
,,0.7961625,0.8425
,,0.7754625,0.8475
,,0.7544625,0.8525
,,0.7331625,0.8575
,,0.7115625,0.8625
,,0.6896625,0.8675
,,0.6674625,0.8725
,,0.6449625,0.8775
,,0.6221625,0.8825
,,0.5990625,0.8875
,,0.5756625,0.8925
,,0.5519625,0.8975
,,0.5279625,0.9025
,,0.5036625,0.9075
,,0.4790625,0.9125
,,0.4541625,0.9175
,,0.4289625,0.9225
,,0.4034625,0.9275
,,0.3776625,0.9325
,,0.3515625,0.9375
,,0.3251625,0.9425
,,0.2984625,0.9475
,,0.2714625,0.9525
,,0.2441625,0.9575
,,0.2165625,0.9625
,,0.1886625,0.9675
,,0.1604625,0.9725
,,0.1319625,0.9775
,,0.1031625,0.9825
,,0.0740625,0.9875
,,0.0446625,0.9925
,,0.0149625,0.9975
